campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_4,4,2026-03-14T00:25:40.357Z,rush_hour,ai,20360689,300,0.2,1,6,22.1,8,462.4,2.8,224,0,29.5,0,30,0,13,40,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_5,5,2026-03-14T00:25:40.406Z,rush_hour,traditional,20360786,300,0.2,1,6,42.9,4,460.58,10.7,231,1,49,0,17,0,18,20,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_5,5,2026-03-14T00:25:40.465Z,rush_hour,ai,20360786,300,0.2,1,6,22.5,7.4,470.89,2.7,226,0,25.9,57.4,30,1,11,37,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_6,6,2026-03-14T00:25:40.540Z,rush_hour,traditional,20360883,300,0.2,1,6,47.5,3.8,472.04,76.8,234,2,46.1,0,18,0,14,19,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_6,6,2026-03-14T00:25:40.608Z,rush_hour,ai,20360883,300,0.2,1,6,27,6,466.57,2.6,227,2,34.3,56.2,22,1,16,30,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_7,7,2026-03-14T00:25:40.672Z,rush_hour,traditional,20360980,300,0.2,1,6,54,1.8,445.26,76.4,237,2,41.2,56.4,5,1,17,9,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_7,7,2026-03-14T00:25:40.713Z,rush_hour,ai,20360980,300,0.2,1,6,18.7,7.8,457.4,2.9,223,0,24.8,20.1,27,3,15,39,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_8,8,2026-03-14T00:25:40.755Z,rush_hour,traditional,20361077,300,0.2,1,6,51.6,2.4,434.95,49,235,0,52.2,0,11,0,18,12,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_8,8,2026-03-14T00:25:40.793Z,rush_hour,ai,20361077,300,0.2,1,6,20.3,6.8,436.12,3.3,224,3,30,0,23,0,18,34,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_9,9,2026-03-14T00:25:40.839Z,rush_hour,traditional,20361174,300,0.2,1,6,47.1,2.2,419.17,0,235,1,47.1,0,11,0,19,11,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_9,9,2026-03-14T00:25:40.873Z,rush_hour,ai,20361174,300,0.2,1,6,17.1,9.8,470.16,3,218,1,23.4,34,33,2,15,49,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_10,10,2026-03-14T00:25:40.921Z,rush_hour,traditional,20361271,300,0.2,1,6,42.2,2.8,429.55,0,235,1,42.2,0,14,0,18,14,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_10,10,2026-03-14T00:25:40.976Z,rush_hour,ai,20361271,300,0.2,1,6,20.1,9.2,482.91,3.3,221,2,27,29.9,32,2,12,46,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_11,11,2026-03-14T00:25:41.041Z,rush_hour,traditional,20361368,300,0.2,1,6,58,3.8,489.14,0,232,1,58,0,19,0,17,19,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_11,11,2026-03-14T00:25:41.088Z,rush_hour,ai,20361368,300,0.2,1,6,19.9,6.2,432.22,2.7,227,0,30.7,4.6,20,1,15,31,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_12,12,2026-03-14T00:25:41.126Z,rush_hour,traditional,20361465,300,0.2,1,6,62.8,2.4,457.82,68,236,3,62.3,0,10,0,17,12,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_12,12,2026-03-14T00:25:41.165Z,rush_hour,ai,20361465,300,0.2,1,6,12.2,9,430.05,2.7,217,1,20.5,19.4,24,3,21,45,300
