timestamp,scenario,mode,repetition,seed,grid_size,duration,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions
2026-03-14T17:23:22.581Z,normal,ai,5,20264966,4,180,12.4,10.7,91.38,1.7,19
2026-03-14T17:23:22.583Z,normal,rl,5,20264966,4,180,12,7.3,81.01,27.8,25
2026-03-14T17:23:22.586Z,normal,traditional,6,20265063,4,180,29.1,5.7,124.43,0,26
2026-03-14T17:23:22.588Z,normal,ai,6,20265063,4,180,15.1,8.3,90.11,2,22
2026-03-14T17:23:22.591Z,normal,rl,6,20265063,4,180,12.2,7.7,77.03,31.4,23
2026-03-14T17:23:22.597Z,rush_hour,traditional,1,20364578,4,180,6.4,6.7,223.19,3.3,134
2026-03-14T17:23:22.602Z,rush_hour,ai,1,20364578,4,180,5.7,11.7,231.11,1.9,128
2026-03-14T17:23:22.608Z,rush_hour,rl,1,20364578,4,180,4.3,13.3,228.24,9.9,125
2026-03-14T17:23:22.613Z,rush_hour,traditional,2,20364675,4,180,9.5,5.3,231.09,6,136
2026-03-14T17:23:22.618Z,rush_hour,ai,2,20364675,4,180,6.8,9.3,234.69,1.9,132
2026-03-14T17:23:22.623Z,rush_hour,rl,2,20364675,4,180,5.4,12,229.4,4.4,128
2026-03-14T17:23:22.628Z,rush_hour,traditional,3,20364772,4,180,10.8,5.3,232.7,15.4,136
2026-03-14T17:23:22.633Z,rush_hour,ai,3,20364772,4,180,5.6,13.7,235.58,1.5,125
2026-03-14T17:23:22.637Z,rush_hour,rl,3,20364772,4,180,4.6,14.7,226.82,2.9,125
2026-03-14T17:23:22.642Z,rush_hour,traditional,4,20364869,4,180,10.1,7.3,246.74,20.4,135
2026-03-14T17:23:22.647Z,rush_hour,ai,4,20364869,4,180,7.1,14.7,251.17,1.6,125
2026-03-14T17:23:22.652Z,rush_hour,rl,4,20364869,4,180,6,10.7,227.93,11.5,129
2026-03-14T17:23:22.656Z,rush_hour,traditional,5,20364966,4,180,7.5,5,237.13,0,140
2026-03-14T17:23:22.660Z,rush_hour,ai,5,20364966,4,180,4.8,11.3,224.84,1.6,130
2026-03-14T17:23:22.665Z,rush_hour,rl,5,20364966,4,180,6.3,9,226.64,9.3,131
2026-03-14T17:23:22.670Z,rush_hour,traditional,6,20365063,4,180,10.1,5,229.66,0,138
2026-03-14T17:23:22.674Z,rush_hour,ai,6,20365063,4,180,5.6,11.3,231.72,1.4,129
2026-03-14T17:23:22.679Z,rush_hour,rl,6,20365063,4,180,6.6,14.3,244.39,11.6,124
2026-03-14T17:23:22.681Z,accident,traditional,1,20464578,4,180,13,2,69.23,0,37
2026-03-14T17:23:22.683Z,accident,ai,1,20464578,4,180,14.8,6,100.22,2.6,34
2026-03-14T17:23:22.685Z,accident,rl,1,20464578,4,180,16.8,4.3,87.1,49,36
2026-03-14T17:23:22.687Z,accident,traditional,2,20464675,4,180,28.6,2,93.24,0,39
2026-03-14T17:23:22.689Z,accident,ai,2,20464675,4,180,9.7,6,78.44,2.1,34
2026-03-14T17:23:22.692Z,accident,rl,2,20464675,4,180,19.8,5.3,94.06,2.4,34
2026-03-14T17:23:22.694Z,accident,traditional,3,20464772,4,180,27.1,1.3,74.36,53,38
2026-03-14T17:23:22.697Z,accident,ai,3,20464772,4,180,14.8,6,91.85,1.9,31
2026-03-14T17:23:22.699Z,accident,rl,3,20464772,4,180,16.5,5.3,91.06,28.8,34
2026-03-14T17:23:22.701Z,accident,traditional,4,20464869,4,180,18.8,2.3,74.71,0,38
2026-03-14T17:23:22.703Z,accident,ai,4,20464869,4,180,14.4,6,87.92,1.9,34
2026-03-14T17:23:22.705Z,accident,rl,4,20464869,4,180,8.2,4.3,70.76,6.9,35
2026-03-14T17:23:22.707Z,accident,traditional,5,20464966,4,180,8.6,1.3,62.35,0,38
2026-03-14T17:23:22.709Z,accident,ai,5,20464966,4,180,10.9,6.3,91.57,2.4,33
2026-03-14T17:23:22.711Z,accident,rl,5,20464966,4,180,14.4,4.3,84.5,61.8,36
2026-03-14T17:23:22.713Z,accident,traditional,6,20465063,4,180,26,1.3,75.04,0,41
2026-03-14T17:23:22.715Z,accident,ai,6,20465063,4,180,7.6,5,72.48,1.8,35
2026-03-14T17:23:22.717Z,accident,rl,6,20465063,4,180,7.4,3.7,68.62,7.1,36
2026-03-14T17:23:22.719Z,emergency,traditional,1,20564578,4,180,10.5,3.3,76.07,9.3,36
2026-03-14T17:23:22.721Z,emergency,ai,1,20564578,4,180,8.5,13,98.99,1.6,23
2026-03-14T17:23:22.723Z,emergency,rl,1,20564578,4,180,15,8.7,129.98,21.9,30
2026-03-14T17:23:22.726Z,emergency,traditional,2,20564675,4,180,26.5,5.3,115.98,24.2,35
2026-03-14T17:23:22.728Z,emergency,ai,2,20564675,4,180,8.7,13,92.43,1.8,23
2026-03-14T17:23:22.731Z,emergency,rl,2,20564675,4,180,10.4,7.7,89.38,11.7,32
2026-03-14T17:23:22.734Z,emergency,traditional,3,20564772,4,180,29.4,7.3,159.1,33.1,31
2026-03-14T17:23:22.736Z,emergency,ai,3,20564772,4,180,11.5,8.3,93.23,1.9,29
2026-03-14T17:23:22.739Z,emergency,rl,3,20564772,4,180,10.7,8.7,97.36,9.2,29
2026-03-14T17:23:22.741Z,emergency,traditional,4,20564869,4,180,22.3,3.3,94.15,30.1,37
2026-03-14T17:23:22.743Z,emergency,ai,4,20564869,4,180,11.9,11.7,102.16,1.9,26
2026-03-14T17:23:22.745Z,emergency,rl,4,20564869,4,180,17,9,119.26,10.2,28
2026-03-14T17:23:22.748Z,emergency,traditional,5,20564966,4,180,17.2,5.7,92.97,18.5,32
2026-03-14T17:23:22.750Z,emergency,ai,5,20564966,4,180,6.4,11.3,78.31,1.6,26
2026-03-14T17:23:22.752Z,emergency,rl,5,20564966,4,180,16.8,6,105.19,23.1,34
2026-03-14T17:23:22.755Z,emergency,traditional,6,20565063,4,180,24.9,4.7,100.99,34.1,34
2026-03-14T17:23:22.757Z,emergency,ai,6,20565063,4,180,9.7,12.3,95.78,1.8,24
2026-03-14T17:23:22.759Z,emergency,rl,6,20565063,4,180,12.4,8,95.04,17.3,28
2026-03-14T17:23:22.763Z,normal,traditional,1,20264638,4,240,35.6,3.8,126.05,30,36
2026-03-14T17:23:22.766Z,normal,ai,1,20264638,4,240,14.2,10,127.31,1.9,26
2026-03-14T17:23:22.770Z,normal,rl,1,20264638,4,240,11.9,7.8,102.64,1.8,32
2026-03-14T17:23:22.773Z,normal,traditional,2,20264735,4,240,22.2,4.5,111.48,11.8,38
2026-03-14T17:23:22.776Z,normal,ai,2,20264735,4,240,14.7,9.5,128.99,2.1,29
2026-03-14T17:23:22.779Z,normal,rl,2,20264735,4,240,8,5.8,82.74,2,36
2026-03-14T17:23:22.783Z,normal,traditional,3,20264832,4,240,20.6,3.8,100,0,39
2026-03-14T17:23:22.786Z,normal,ai,3,20264832,4,240,16.9,7.3,120.53,3.6,32
2026-03-14T17:23:22.789Z,normal,rl,3,20264832,4,240,15.2,5,99.73,2.2,38
2026-03-14T17:23:22.794Z,normal,traditional,4,20264929,4,240,33.7,6.3,184.63,0,35
2026-03-14T17:23:22.797Z,normal,ai,4,20264929,4,240,15.6,9,127.91,1.2,30
2026-03-14T17:23:22.801Z,normal,rl,4,20264929,4,240,14.5,7.8,114.15,20.6,32
2026-03-14T17:23:22.804Z,normal,traditional,5,20265026,4,240,37.8,2.8,113.41,0,40
2026-03-14T17:23:22.808Z,normal,ai,5,20265026,4,240,14.9,8.5,116.97,1.9,30
2026-03-14T17:23:22.811Z,normal,rl,5,20265026,4,240,16.7,8.3,130.06,16.3,31
2026-03-14T17:23:22.814Z,normal,traditional,6,20265123,4,240,22.7,5,119.18,0,36
2026-03-14T17:23:22.817Z,normal,ai,6,20265123,4,240,14.7,9.5,129.41,1.5,29
2026-03-14T17:23:22.820Z,normal,rl,6,20265123,4,240,16,7.8,133,12.6,30
2026-03-14T17:23:22.826Z,rush_hour,traditional,1,20364638,4,240,7,5.3,308.95,1.6,184
2026-03-14T17:23:22.832Z,rush_hour,ai,1,20364638,4,240,6.9,12.5,329.41,1.7,170
2026-03-14T17:23:22.838Z,rush_hour,rl,1,20364638,4,240,5.9,9,305.54,14.6,177
2026-03-14T17:23:22.845Z,rush_hour,traditional,2,20364735,4,240,12.5,7.5,338.01,22.8,180
2026-03-14T17:23:22.852Z,rush_hour,ai,2,20364735,4,240,6.8,14.5,325.85,1.7,169
2026-03-14T17:23:22.858Z,rush_hour,rl,2,20364735,4,240,5.5,12.5,311.92,19.6,172
2026-03-14T17:23:22.865Z,rush_hour,traditional,3,20364832,4,240,6.9,6.3,304.47,1.2,183
2026-03-14T17:23:22.871Z,rush_hour,ai,3,20364832,4,240,6.8,14.3,334.46,1.6,169
2026-03-14T17:23:22.877Z,rush_hour,rl,3,20364832,4,240,5.5,12.3,310.13,1.4,171
2026-03-14T17:23:22.883Z,rush_hour,traditional,4,20364929,4,240,7.1,6.8,305.87,1.8,182
2026-03-14T17:23:22.889Z,rush_hour,ai,4,20364929,4,240,6.7,13.3,317.57,1.7,169
2026-03-14T17:23:22.895Z,rush_hour,rl,4,20364929,4,240,6.8,11.5,309.76,3,172
2026-03-14T17:23:22.901Z,rush_hour,traditional,5,20365026,4,240,9.4,6.3,319.21,8.2,181
2026-03-14T17:23:22.907Z,rush_hour,ai,5,20365026,4,240,5.8,10.3,303.94,1.7,174
2026-03-14T17:23:22.913Z,rush_hour,rl,5,20365026,4,240,7.4,11.8,317.45,1.2,170
2026-03-14T17:23:22.920Z,rush_hour,traditional,6,20365123,4,240,7.6,5.3,313,12.6,186
2026-03-14T17:23:22.926Z,rush_hour,ai,6,20365123,4,240,6.4,13.3,324.98,1.9,170
2026-03-14T17:23:22.932Z,rush_hour,rl,6,20365123,4,240,6,11.5,317.04,12.7,170
2026-03-14T17:23:22.935Z,accident,traditional,1,20464638,4,240,23.3,2.3,113.24,49.8,53
2026-03-14T17:23:22.938Z,accident,ai,1,20464638,4,240,7,4.3,94.74,1.7,50
2026-03-14T17:23:22.941Z,accident,rl,1,20464638,4,240,20.5,4.8,133.92,22,46
2026-03-14T17:23:22.943Z,accident,traditional,2,20464735,4,240,17.1,2.5,108.43,16.5,53
2026-03-14T17:23:22.946Z,accident,ai,2,20464735,4,240,5.7,4.8,90.86,2.1,47
2026-03-14T17:23:22.949Z,accident,rl,2,20464735,4,240,14.5,3.5,104.28,8.2,50
2026-03-14T17:23:22.952Z,accident,traditional,3,20464832,4,240,25.8,2.8,125.08,35.8,52
2026-03-14T17:23:22.955Z,accident,ai,3,20464832,4,240,14.7,5.5,123.72,4,46
2026-03-14T17:23:22.958Z,accident,rl,3,20464832,4,240,18,3.5,114.36,0,49
2026-03-14T17:23:22.961Z,accident,traditional,4,20464929,4,240,20.8,2,99.23,0,51
2026-03-14T17:23:22.964Z,accident,ai,4,20464929,4,240,13.6,7,121.85,1.5,43
2026-03-14T17:23:22.967Z,accident,rl,4,20464929,4,240,13.8,5.3,111.6,5.6,46
2026-03-14T17:23:22.970Z,accident,traditional,5,20465026,4,240,16.9,2.5,100.87,19,51
2026-03-14T17:23:22.972Z,accident,ai,5,20465026,4,240,11.7,5.8,111.59,1.9,47
2026-03-14T17:23:22.975Z,accident,rl,5,20465026,4,240,13.4,4.3,115.53,17.7,49
2026-03-14T17:23:22.978Z,accident,traditional,6,20465123,4,240,31.1,2,110.22,0,52
2026-03-14T17:23:22.981Z,accident,ai,6,20465123,4,240,10.9,6.5,116.04,2.6,46
2026-03-14T17:23:22.984Z,accident,rl,6,20465123,4,240,12.8,5,118.3,39.2,47
2026-03-14T17:23:22.987Z,emergency,traditional,1,20564638,4,240,24.5,7.3,173.23,21.6,41
2026-03-14T17:23:22.991Z,emergency,ai,1,20564638,4,240,7.5,11.8,114.95,1.8,34
2026-03-14T17:23:22.994Z,emergency,rl,1,20564638,4,240,12.3,9.8,146,11.7,37
2026-03-14T17:23:22.997Z,emergency,traditional,2,20564735,4,240,14.7,5.5,119.24,8.6,45
2026-03-14T17:23:22.999Z,emergency,ai,2,20564735,4,240,7.5,14.3,124.54,2,30
2026-03-14T17:23:23.002Z,emergency,rl,2,20564735,4,240,15,7,149.05,17,43
2026-03-14T17:23:23.005Z,emergency,traditional,3,20564832,4,240,26.6,4.8,153.64,20.6,47
2026-03-14T17:23:23.008Z,emergency,ai,3,20564832,4,240,7.1,12,108.99,1.6,33
2026-03-14T17:23:23.011Z,emergency,rl,3,20564832,4,240,12.1,5.3,118.93,22.1,47
2026-03-14T17:23:23.014Z,emergency,traditional,4,20564929,4,240,22.2,4.5,127.31,19.2,47
2026-03-14T17:23:23.017Z,emergency,ai,4,20564929,4,240,8.1,13,123.6,1.7,31
2026-03-14T17:23:23.020Z,emergency,rl,4,20564929,4,240,14.1,9.5,147.29,11.3,38
2026-03-14T17:23:23.023Z,emergency,traditional,5,20565026,4,240,21.8,5.3,132.28,0,46
2026-03-14T17:23:23.026Z,emergency,ai,5,20565026,4,240,9.9,12.5,143.03,1.8,33
2026-03-14T17:23:23.029Z,emergency,rl,5,20565026,4,240,13.8,8,135.83,18.1,41
2026-03-14T17:23:23.032Z,emergency,traditional,6,20565123,4,240,20.3,7.8,157.78,14.9,40
