episode,scenario,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,q_states,epsilon
132,portugal,20278385,21.4,9,235.34,53.1,77,0,18,0.03
133,portugal_litoral,20278522,12.6,10.5,216.43,0,90,0,18,0.03
134,portugal_interior,20278659,13.4,11.5,209.76,34.9,70,0,18,0.03
135,portugal_sul,20278796,14.2,14.8,244.45,30.1,67,1,18,0.03
136,normal,20278933,28.4,5.5,142.16,81.8,35,0,18,0.03
137,rush_hour,20279070,25.8,5,357.47,16.4,181,1,18,0.03
138,accident,20279207,44,3.3,154.01,68.1,47,1,18,0.03
139,emergency,20279344,26.3,7.3,186.85,34.6,40,0,18,0.03
140,vila_real,20279481,17.6,4.8,172.65,13,72,0,18,0.03
141,portugal,20279618,19.2,12,288.19,33.6,71,0,18,0.03
142,portugal_litoral,20279755,17.6,9.3,244.72,28.3,96,0,18,0.03
143,portugal_interior,20279892,17.4,10.3,230.99,51.1,75,0,18,0.03
144,portugal_sul,20280029,18.3,9,243.05,38.8,76,0,18,0.03
145,normal,20280166,46.7,5.5,194.59,100.2,35,0,18,0.03
146,rush_hour,20280303,15,5.8,335.59,39.1,181,0,18,0.03
147,accident,20280440,47.1,4.5,204.32,69,46,0,18,0.03
148,emergency,20280577,37,6.8,227.88,33.1,42,0,18,0.03
149,vila_real,20280714,24.4,5.5,185.4,27.8,72,0,18,0.03
150,portugal,20280851,19.8,10.8,277.06,12.6,73,0,18,0.03
