scenario,mode_a,mode_b,metric,analysis_type,n_pairs,n_mode_a,n_mode_b,mode_a_mean,mode_b_mean,difference_a_minus_b,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
portugal_litoral,ai,traditional,collision_avoided,paired,30,30,30,0.3,0.3333333333333333,-0.033333333333333326,-0.36666666666666664,0.26666666666666666,-9.999999999999998,1.0,1.0
portugal_litoral,ai,traditional,vehicles_completed,paired,30,30,30,56.1,36.766666666666666,19.333333333333336,17.166666666666668,21.633333333333333,52.583862194016326,0.00024993751562109475,0.0017495626093476631
portugal_sul,ai,traditional,avg_wait_time,paired,30,30,30,10.043333333333335,12.609999999999998,-2.566666666666668,-4.217,-0.8564166666666662,20.354216230504864,0.007998000499875032,0.023994001499625096
portugal_sul,ai,traditional,flow_rate,paired,30,30,30,12.9,9.926666666666668,2.9733333333333345,2.4933333333333336,3.466666666666667,29.952988582941565,0.00024993751562109475,0.0017495626093476631
portugal_sul,ai,traditional,co2_emissions,paired,30,30,30,274.41866666666664,269.24533333333335,5.173333333333289,-10.326483333333341,21.249058333333327,-1.9214198698584521,0.5476130967258186,0.7298175456135966
portugal_sul,ai,traditional,emergency_response_time,paired,30,30,30,2.9433333333333342,40.54333333333333,-37.599999999999994,-50.11733333333334,-25.48991666666667,92.74027789196744,0.00024993751562109475,0.0017495626093476631
portugal_sul,ai,traditional,total_collisions,paired,30,30,30,95.2,102.3,-7.099999999999994,-8.334166666666667,-5.833333333333333,6.940371456500484,0.00024993751562109475,0.0017495626093476631
portugal_sul,ai,traditional,collision_avoided,paired,30,30,30,0.3333333333333333,0.2,0.1333333333333333,-0.06666666666666667,0.3333333333333333,66.66666666666666,0.3649087728067983,0.7298175456135966
portugal_sul,ai,traditional,vehicles_completed,paired,30,30,30,64.5,49.63333333333333,14.866666666666667,12.466666666666667,17.333333333333332,29.952988582941575,0.00024993751562109475,0.0017495626093476631
rush_hour,ai,traditional,avg_wait_time,paired,30,30,30,17.940000000000005,48.82666666666666,-30.88666666666667,-34.376916666666666,-27.32974999999999,63.25778263244127,0.00024993751562109475,0.0017495626093476631
rush_hour,ai,traditional,flow_rate,paired,30,30,30,6.64,1.9933333333333338,4.6466666666666665,4.1866666666666665,5.08,233.11036789297646,0.00024993751562109475,0.0017495626093476631
rush_hour,ai,traditional,co2_emissions,paired,30,30,30,455.58166666666665,441.9006666666666,13.681000000000097,0.38043333333333224,25.712208333333344,-3.0959446391421395,0.04998750312421894,0.09997500624843789
rush_hour,ai,traditional,emergency_response_time,paired,30,30,30,2.766666666666667,25.569999999999997,-22.80333333333333,-34.280499999999996,-12.293166666666664,89.18002867944206,0.000999750062484379,0.002999250187453137
rush_hour,ai,traditional,total_collisions,paired,30,30,30,231.83333333333334,243.03333333333333,-11.199999999999989,-12.9,-9.5,4.6084213413797785,0.00024993751562109475,0.0017495626093476631
rush_hour,ai,traditional,collision_avoided,paired,30,30,30,1.0,1.0666666666666667,-0.06666666666666665,-0.5666666666666667,0.36666666666666664,-6.249999999999998,0.8975256185953512,0.8975256185953512
rush_hour,ai,traditional,vehicles_completed,paired,30,30,30,33.2,9.966666666666667,23.233333333333334,20.933333333333334,25.4,233.1103678929766,0.00024993751562109475,0.0017495626093476631
vila_real,ai,traditional,avg_wait_time,paired,30,30,30,17.30666666666667,31.240000000000002,-13.933333333333337,-16.79675,-11.119666666666665,44.60093896713615,0.00024993751562109475,0.0017495626093476631
vila_real,ai,traditional,flow_rate,paired,30,30,30,6.273333333333334,3.9733333333333336,2.2999999999999994,1.986666666666667,2.6333333333333333,57.88590604026847,0.00024993751562109475,0.0017495626093476631
vila_real,ai,traditional,co2_emissions,paired,30,30,30,229.49733333333333,243.57299999999998,-14.075666666666734,-27.19325,-3.4468000000000014,5.778828797389961,0.025743564108972758,0.07723069232691827
vila_real,ai,traditional,emergency_response_time,paired,30,30,30,2.526666666666667,7.129999999999999,-4.6033333333333335,-11.470083333333333,0.5300833333333337,64.56287985039737,0.18620344913771558,0.37240689827543116
vila_real,ai,traditional,total_collisions,paired,30,30,30,94.73333333333333,100.0,-5.266666666666666,-6.133333333333334,-4.433333333333334,5.266666666666666,0.00024993751562109475,0.0017495626093476631
vila_real,ai,traditional,collision_avoided,paired,30,30,30,0.43333333333333335,0.26666666666666666,0.16666666666666669,-0.1,0.43333333333333335,62.500000000000014,0.33566608347913024,0.37240689827543116
vila_real,ai,traditional,vehicles_completed,paired,30,30,30,31.366666666666667,19.866666666666667,11.5,9.933333333333334,13.166666666666666,57.88590604026845,0.00024993751562109475,0.0017495626093476631
