scenario,metric,analysis_type,n_pairs,n_ai,n_traditional,ai_mean,traditional_mean,difference_ai_minus_traditional,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
portugal,light_completed,paired,30,30,30,36.833333333333336,28.033333333333335,8.8,7.566666666666666,10.033333333333333,31.391200951248514,0.00024993751562109475,0.0024993751562109477
portugal,heavy_completed,paired,30,30,30,7.466666666666667,4.233333333333333,3.2333333333333334,2.2666666666666666,4.2,76.37795275590551,0.00024993751562109475,0.0024993751562109477
portugal_interior,avg_wait_time,paired,30,30,30,9.82,11.996666666666666,-2.176666666666666,-3.516833333333333,-0.8200000000000001,18.143928869130306,0.005248687828042989,0.020994751312171957
portugal_interior,flow_rate,paired,30,30,30,13.026666666666667,8.806666666666668,4.219999999999999,3.7600000000000002,4.6335000000000015,47.91824375473124,0.00024993751562109475,0.0024993751562109477
portugal_interior,co2_emissions,paired,30,30,30,286.738,262.99466666666666,23.74333333333334,8.109858333333328,38.1126,-9.02806647536579,0.0032491877030742314,0.016245938515371157
portugal_interior,emergency_response_time,paired,30,30,30,2.81,32.59,-29.780000000000005,-40.26766666666666,-20.16883333333333,91.37772322798405,0.00024993751562109475,0.0024993751562109477
portugal_interior,total_collisions,paired,30,30,30,94.03333333333333,103.86666666666666,-9.833333333333329,-11.2,-8.5,9.467265725288827,0.00024993751562109475,0.0024993751562109477
portugal_interior,collision_avoided,paired,30,30,30,0.3,0.23333333333333334,0.06666666666666665,-0.2,0.3333333333333333,28.571428571428566,0.8212946763309172,1.0
portugal_interior,light_avg_wait_time,paired,30,30,30,10.540000000000001,10.316666666666668,0.2233333333333345,-1.2100833333333336,1.6603333333333345,-2.1647819063004783,0.7718070482379406,1.0
portugal_interior,heavy_avg_wait_time,paired,30,30,30,13.686666666666666,13.843333333333334,-0.1566666666666663,-3.3107499999999996,2.7334166666666677,1.1317120154105567,0.9170207448137966,1.0
portugal_interior,light_completed,paired,30,30,30,43.3,34.266666666666666,9.033333333333331,7.3,10.7,26.36186770428015,0.00024993751562109475,0.0024993751562109477
portugal_interior,heavy_completed,paired,30,30,30,13.5,8.6,4.9,3.8333333333333335,5.966666666666667,56.97674418604651,0.00024993751562109475,0.0024993751562109477
portugal_litoral,avg_wait_time,paired,30,30,30,12.046666666666669,16.34,-4.293333333333331,-5.270166666666666,-3.3500000000000005,26.27498980008159,0.00024993751562109475,0.0024993751562109477
portugal_litoral,flow_rate,paired,30,30,30,11.22,7.353333333333335,3.866666666666667,3.4333333333333345,4.326666666666667,52.583862194016284,0.00024993751562109475,0.0024993751562109477
portugal_litoral,co2_emissions,paired,30,30,30,310.3986666666667,299.725,10.67366666666669,1.6650833333333366,19.692091666666673,-3.561153279395009,0.030242439390152462,0.12096975756060985
portugal_litoral,emergency_response_time,paired,30,30,30,2.829999999999999,28.923333333333336,-26.093333333333334,-35.867583333333336,-16.35699999999999,90.21551227382737,0.00024993751562109475,0.0024993751562109477
portugal_litoral,total_collisions,paired,30,30,30,118.8,128.0,-9.200000000000003,-10.466666666666667,-7.9,7.187500000000002,0.00024993751562109475,0.0024993751562109477
portugal_litoral,collision_avoided,paired,30,30,30,0.3,0.3333333333333333,-0.033333333333333326,-0.36666666666666664,0.26666666666666666,-9.999999999999998,1.0,1.0
portugal_litoral,light_avg_wait_time,paired,30,30,30,15.01666666666667,16.69,-1.673333333333332,-3.1333333333333333,-0.13991666666666588,10.025963650888748,0.04423894026493377,0.1327168207948013
portugal_litoral,heavy_avg_wait_time,paired,30,30,30,11.846666666666666,11.126666666666667,0.7200000000000006,-2.6903333333333332,4.103416666666667,-6.470940683043729,0.6838290427393152,1.0
portugal_litoral,light_completed,paired,30,30,30,37.333333333333336,27.833333333333332,9.500000000000004,7.733333333333333,11.4,34.13173652694612,0.00024993751562109475,0.0024993751562109477
portugal_litoral,heavy_completed,paired,30,30,30,9.866666666666667,7.866666666666666,2.000000000000001,0.9666666666666667,3.1008333333333367,25.423728813559332,0.000999750062484379,0.004998750312421895
portugal_sul,avg_wait_time,paired,30,30,30,10.043333333333335,12.609999999999998,-2.566666666666668,-4.217,-0.8564166666666662,20.354216230504864,0.007998000499875032,0.04798800299925019
portugal_sul,flow_rate,paired,30,30,30,12.9,9.926666666666668,2.9733333333333345,2.4933333333333336,3.466666666666667,29.952988582941565,0.00024993751562109475,0.0024993751562109477
portugal_sul,co2_emissions,paired,30,30,30,274.41866666666664,269.24533333333335,5.173333333333289,-10.326483333333341,21.249058333333327,-1.9214198698584521,0.5476130967258186,0.9897525618595351
portugal_sul,emergency_response_time,paired,30,30,30,2.9433333333333342,40.54333333333333,-37.599999999999994,-50.11733333333334,-25.48991666666667,92.74027789196744,0.00024993751562109475,0.0024993751562109477
portugal_sul,total_collisions,paired,30,30,30,95.2,102.3,-7.099999999999994,-8.334166666666667,-5.833333333333333,6.940371456500484,0.00024993751562109475,0.0024993751562109477
portugal_sul,collision_avoided,paired,30,30,30,0.3333333333333333,0.2,0.1333333333333333,-0.06666666666666667,0.3333333333333333,66.66666666666666,0.3649087728067983,0.9897525618595351
portugal_sul,light_avg_wait_time,paired,30,30,30,13.456666666666667,14.66,-1.2033333333333296,-3.5600833333333335,1.0900833333333333,8.208276489313322,0.32991752061984503,0.9897525618595351
portugal_sul,heavy_avg_wait_time,paired,30,30,30,6.7299999999999995,5.236666666666668,1.4933333333333332,-0.13016666666666665,3.1099999999999994,-28.516868236791808,0.09047738065483629,0.36190952261934517
portugal_sul,light_completed,paired,30,30,30,39.03333333333333,32.43333333333333,6.600000000000001,4.833333333333333,8.433333333333334,20.349434737923954,0.00024993751562109475,0.0024993751562109477
portugal_sul,heavy_completed,paired,30,30,30,17.833333333333332,15.966666666666667,1.8666666666666654,0.3333333333333333,3.466666666666667,11.691022964509386,0.02749312671832042,0.1374656335916021
rush_hour,avg_wait_time,paired,30,30,30,17.940000000000005,48.82666666666666,-30.88666666666667,-34.376916666666666,-27.32974999999999,63.25778263244127,0.00024993751562109475,0.0024993751562109477
rush_hour,flow_rate,paired,30,30,30,6.64,1.9933333333333338,4.6466666666666665,4.1866666666666665,5.08,233.11036789297646,0.00024993751562109475,0.0024993751562109477
rush_hour,co2_emissions,paired,30,30,30,455.58166666666665,441.9006666666666,13.681000000000097,0.38043333333333224,25.712208333333344,-3.0959446391421395,0.04998750312421894,0.14996250937265682
rush_hour,emergency_response_time,paired,30,30,30,2.766666666666667,25.569999999999997,-22.80333333333333,-34.280499999999996,-12.293166666666664,89.18002867944206,0.000999750062484379,0.003999000249937516
rush_hour,total_collisions,paired,30,30,30,231.83333333333334,243.03333333333333,-11.199999999999989,-12.9,-9.5,4.6084213413797785,0.00024993751562109475,0.0024993751562109477
rush_hour,collision_avoided,paired,30,30,30,1.0,1.0666666666666667,-0.06666666666666665,-0.5666666666666667,0.36666666666666664,-6.249999999999998,0.8975256185953512,0.8975256185953512
rush_hour,light_avg_wait_time,paired,30,30,30,26.279999999999998,50.09666666666668,-23.81666666666668,-27.54675,-20.12291666666666,47.541419921485144,0.00024993751562109475,0.0024993751562109477
rush_hour,heavy_avg_wait_time,paired,30,30,30,24.066666666666666,33.56666666666667,-9.5,-20.05741666666667,0.9477500000000032,28.30188679245284,0.10122469382654337,0.20244938765308673
rush_hour,light_completed,paired,30,30,30,19.6,8.033333333333333,11.566666666666668,9.9,13.134166666666669,143.98340248962657,0.00024993751562109475,0.0024993751562109477
rush_hour,heavy_completed,paired,30,30,30,2.8333333333333335,1.0666666666666667,1.7666666666666668,1.0666666666666667,2.5,165.62500000000003,0.00024993751562109475,0.0024993751562109477
vila_real,avg_wait_time,paired,30,30,30,17.30666666666667,31.240000000000002,-13.933333333333337,-16.79675,-11.119666666666665,44.60093896713615,0.00024993751562109475,0.0024993751562109477
vila_real,flow_rate,paired,30,30,30,6.273333333333334,3.9733333333333336,2.2999999999999994,1.986666666666667,2.6333333333333333,57.88590604026847,0.00024993751562109475,0.0024993751562109477
vila_real,co2_emissions,paired,30,30,30,229.49733333333333,243.57299999999998,-14.075666666666734,-27.19325,-3.4468000000000014,5.778828797389961,0.025743564108972758,0.10297425643589103
vila_real,emergency_response_time,paired,30,30,30,2.526666666666667,7.129999999999999,-4.6033333333333335,-11.470083333333333,0.5300833333333337,64.56287985039737,0.18620344913771558,0.5586103474131467
vila_real,total_collisions,paired,30,30,30,94.73333333333333,100.0,-5.266666666666666,-6.133333333333334,-4.433333333333334,5.266666666666666,0.00024993751562109475,0.0024993751562109477
